FLD_ZONE,LUCODE,popul_by_1,risk_group,Flow_Rate,Precipitation
D,157,6541,unknown,8970,2.43
D,317,6541,unknown,8970,2.43
D,277,6541,unknown,8970,2.43
D,237,6541,unknown,8970,2.43
D,117,6541,unknown,8970,2.43
D,17,6541,unknown,8970,2.43
D,57,6541,unknown,8970,2.43
D,137,6541,unknown,8970,2.43
D,197,6541,unknown,8970,2.43
D,177,6541,unknown,8970,2.43
D,97,6541,unknown,8970,2.43
D,217,6541,unknown,8970,2.43
D,297,6541,unknown,8970,2.43
D,357,6541,unknown,8970,2.43
D,337,6541,unknown,8970,2.43
D,77,6541,unknown,8970,2.43
D,37,6541,unknown,8970,2.43
D,257,6541,unknown,8970,2.43
X,50,4883,moderate,6610,2.19
X,30,4883,moderate,6610,2.19
X,310,4883,moderate,6610,2.19
X,130,4883,moderate,6610,2.19
X,290,4883,moderate,6610,2.19
X,230,4883,moderate,6610,2.19
X,170,4883,moderate,6610,2.19
X,270,4883,moderate,6610,2.19
X,90,4883,moderate,6610,2.19
X,330,4883,moderate,6610,2.19
X,210,4883,moderate,6610,2.19
X,350,4883,moderate,6610,2.19
X,10,4883,moderate,6610,2.19
X,70,4883,moderate,6610,2.19
X,150,4883,moderate,6610,2.19
X,250,4883,moderate,6610,2.19
X,190,4883,moderate,6610,2.19
X,110,4883,moderate,6610,2.19
A,357,6541,high,8970,2.43
A,137,6541,high,8970,2.43
A,257,6541,high,8970,2.43
A,197,6541,high,8970,2.43
A,237,6541,high,8970,2.43
A,337,6541,high,8970,2.43
A,57,6541,high,8970,2.43
A,277,6541,high,8970,2.43
A,37,6541,high,8970,2.43
A,17,6541,high,8970,2.43
A,157,6541,high,8970,2.43
A,317,6541,high,8970,2.43
A,297,6541,high,8970,2.43
A,177,6541,high,8970,2.43
A,117,6541,high,8970,2.43
A,97,6541,high,8970,2.43
A,77,6541,high,8970,2.43
A,217,6541,high,8970,2.43
X,278,5195,low,6610,2.19
X,58,5195,low,6610,2.19
X,298,5195,low,6610,2.19
X,138,5195,low,6610,2.19
X,78,5195,low,6610,2.19
X,178,5195,low,6610,2.19
X,238,5195,low,6610,2.19
X,118,5195,low,6610,2.19
X,358,5195,low,6610,2.19
X,158,5195,low,6610,2.19
X,18,5195,low,6610,2.19
X,338,5195,low,6610,2.19
X,318,5195,low,6610,2.19
X,258,5195,low,6610,2.19
X,98,5195,low,6610,2.19
X,38,5195,low,6610,2.19
X,218,5195,low,6610,2.19
X,198,5195,low,6610,2.19
X,213,6809,low,6610,2.19
X,33,6809,low,6610,2.19
X,53,6809,low,6610,2.19
X,313,6809,low,6610,2.19
X,93,6809,low,6610,2.19
X,293,6809,low,6610,2.19
X,353,6809,low,6610,2.19
X,13,6809,low,6610,2.19
X,133,6809,low,6610,2.19
X,253,6809,low,6610,2.19
X,73,6809,low,6610,2.19
X,333,6809,low,6610,2.19
X,233,6809,low,6610,2.19
X,173,6809,low,6610,2.19
X,113,6809,low,6610,2.19
X,193,6809,low,6610,2.19
X,273,6809,low,6610,2.19
X,153,6809,low,6610,2.19
X,292,6839,low,6610,2.19
X,172,6839,low,6610,2.19
X,152,6839,low,6610,2.19
X,272,6839,low,6610,2.19
X,32,6839,low,6610,2.19
X,52,6839,low,6610,2.19
X,352,6839,low,6610,2.19
X,252,6839,low,6610,2.19
X,132,6839,low,6610,2.19
X,192,6839,low,6610,2.19
X,212,6839,low,6610,2.19
X,232,6839,low,6610,2.19
X,112,6839,low,6610,2.19
X,332,6839,low,6610,2.19
X,92,6839,low,6610,2.19
X,72,6839,low,6610,2.19
X,312,6839,low,6610,2.19
X,12,6839,low,6610,2.19
X,220,2699,low,6610,2.19
X,300,2699,low,6610,2.19
X,120,2699,low,6610,2.19
X,80,2699,low,6610,2.19
X,60,2699,low,6610,2.19
X,160,2699,low,6610,2.19
X,40,2699,low,6610,2.19
X,340,2699,low,6610,2.19
X,240,2699,low,6610,2.19
X,100,2699,low,6610,2.19
X,280,2699,low,6610,2.19
X,140,2699,low,6610,2.19
X,180,2699,low,6610,2.19
X,0,2699,low,6610,2.19
X,320,2699,low,6610,2.19
X,260,2699,low,6610,2.19
X,200,2699,low,6610,2.19
X,20,2699,low,6610,2.19
X,111,4130,low,6610,2.19
X,311,4130,low,6610,2.19
X,11,4130,low,6610,2.19
X,211,4130,low,6610,2.19
X,331,4130,low,6610,2.19
X,351,4130,low,6610,2.19
X,271,4130,low,6610,2.19
X,151,4130,low,6610,2.19
X,131,4130,low,6610,2.19
X,71,4130,low,6610,2.19
X,51,4130,low,6610,2.19
X,291,4130,low,6610,2.19
X,231,4130,low,6610,2.19
X,171,4130,low,6610,2.19
X,191,4130,low,6610,2.19
X,251,4130,low,6610,2.19
X,31,4130,low,6610,2.19
X,91,4130,low,6610,2.19
X,146,9017,low,6610,2.19
X,246,9017,low,6610,2.19
X,266,9017,low,6610,2.19
X,46,9017,low,6610,2.19
X,6,9017,low,6610,2.19
X,346,9017,low,6610,2.19
X,186,9017,low,6610,2.19
X,286,9017,low,6610,2.19
X,106,9017,low,6610,2.19
X,306,9017,low,6610,2.19
X,66,9017,low,6610,2.19
X,86,9017,low,6610,2.19
X,166,9017,low,6610,2.19
X,326,9017,low,6610,2.19
X,26,9017,low,6610,2.19
X,126,9017,low,6610,2.19
X,206,9017,low,6610,2.19
X,226,9017,low,6610,2.19
X,163,4391,low,6610,2.19
X,3,4391,low,6610,2.19
X,323,4391,low,6610,2.19
X,203,4391,low,6610,2.19
X,83,4391,low,6610,2.19
X,243,4391,low,6610,2.19
X,343,4391,low,6610,2.19
X,223,4391,low,6610,2.19
X,123,4391,low,6610,2.19
X,143,4391,low,6610,2.19
X,183,4391,low,6610,2.19
X,103,4391,low,6610,2.19
X,303,4391,low,6610,2.19
X,43,4391,low,6610,2.19
X,263,4391,low,6610,2.19
X,23,4391,low,6610,2.19
X,283,4391,low,6610,2.19
X,63,4391,low,6610,2.19
X,335,3573,low,6610,2.19
X,115,3573,low,6610,2.19
X,355,3573,low,6610,2.19
X,295,3573,low,6610,2.19
X,255,3573,low,6610,2.19
X,235,3573,low,6610,2.19
X,315,3573,low,6610,2.19
X,75,3573,low,6610,2.19
X,95,3573,low,6610,2.19
X,155,3573,low,6610,2.19
X,275,3573,low,6610,2.19
X,35,3573,low,6610,2.19
