FLD_ZONE,LUCODE,popul_by_1,risk_group
D,177,6541,unknown
D,97,6541,unknown
D,297,6541,unknown
D,537,6541,unknown
D,597,6541,unknown
D,17,6541,unknown
D,497,6541,unknown
D,197,6541,unknown
D,417,6541,unknown
D,477,6541,unknown
D,577,6541,unknown
D,37,6541,unknown
D,117,6541,unknown
D,277,6541,unknown
D,157,6541,unknown
D,557,6541,unknown
D,397,6541,unknown
D,77,6541,unknown
D,317,6541,unknown
D,337,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,517,6541,unknown
D,457,6541,unknown
D,217,6541,unknown
D,437,6541,unknown
D,257,6541,unknown
D,357,6541,unknown
D,57,6541,unknown
D,377,6541,unknown
X,430,4883,moderate
X,450,4883,moderate
X,510,4883,moderate
X,250,4883,moderate
X,490,4883,moderate
X,70,4883,moderate
X,10,4883,moderate
X,370,4883,moderate
X,590,4883,moderate
X,350,4883,moderate
X,570,4883,moderate
X,390,4883,moderate
X,170,4883,moderate
X,290,4883,moderate
X,50,4883,moderate
X,550,4883,moderate
X,130,4883,moderate
X,470,4883,moderate
X,310,4883,moderate
X,410,4883,moderate
X,90,4883,moderate
X,30,4883,moderate
X,190,4883,moderate
X,270,4883,moderate
X,150,4883,moderate
X,530,4883,moderate
X,330,4883,moderate
X,230,4883,moderate
X,210,4883,moderate
X,110,4883,moderate
A,117,6541,high
A,277,6541,high
A,197,6541,high
A,477,6541,high
A,377,6541,high
A,157,6541,high
A,57,6541,high
A,357,6541,high
A,217,6541,high
A,17,6541,high
A,497,6541,high
A,37,6541,high
A,577,6541,high
A,597,6541,high
A,177,6541,high
A,417,6541,high
A,537,6541,high
A,557,6541,high
A,297,6541,high
A,97,6541,high
A,237,6541,high
A,137,6541,high
A,517,6541,high
A,457,6541,high
A,257,6541,high
A,437,6541,high
A,337,6541,high
A,317,6541,high
A,77,6541,high
A,397,6541,high
X,58,5195,low
X,558,5195,low
X,418,5195,low
X,198,5195,low
X,338,5195,low
X,378,5195,low
X,478,5195,low
X,38,5195,low
X,298,5195,low
X,18,5195,low
X,78,5195,low
X,578,5195,low
X,258,5195,low
X,318,5195,low
X,278,5195,low
X,438,5195,low
X,238,5195,low
X,398,5195,low
X,518,5195,low
X,538,5195,low
X,118,5195,low
X,158,5195,low
X,218,5195,low
X,138,5195,low
X,458,5195,low
X,498,5195,low
X,358,5195,low
X,98,5195,low
X,178,5195,low
X,598,5195,low
X,173,6809,low
X,593,6809,low
X,213,6809,low
X,493,6809,low
X,193,6809,low
X,473,6809,low
X,533,6809,low
X,433,6809,low
X,233,6809,low
X,93,6809,low
X,153,6809,low
X,73,6809,low
X,53,6809,low
X,573,6809,low
X,293,6809,low
X,373,6809,low
X,333,6809,low
X,353,6809,low
X,413,6809,low
X,273,6809,low
X,133,6809,low
X,253,6809,low
X,313,6809,low
X,453,6809,low
X,113,6809,low
X,13,6809,low
X,33,6809,low
X,553,6809,low
X,513,6809,low
X,393,6809,low
X,572,6839,low
X,452,6839,low
X,132,6839,low
X,12,6839,low
X,72,6839,low
X,92,6839,low
X,312,6839,low
X,292,6839,low
X,592,6839,low
X,532,6839,low
X,492,6839,low
X,392,6839,low
X,272,6839,low
X,172,6839,low
X,512,6839,low
X,112,6839,low
X,32,6839,low
X,372,6839,low
X,352,6839,low
X,412,6839,low
X,252,6839,low
X,52,6839,low
X,212,6839,low
X,192,6839,low
X,332,6839,low
X,152,6839,low
X,472,6839,low
X,552,6839,low
X,432,6839,low
X,232,6839,low
X,380,2699,low
X,340,2699,low
X,100,2699,low
X,580,2699,low
X,400,2699,low
X,160,2699,low
X,540,2699,low
